IDDOC,SP5177,SP5178,SP5227,SP5228,SP5229,SP5179,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916,SP212
"KB8X","1","","2017-04-10","41E","2017-03-01","0",29145,697,1324.3,0.0,14.69,0.01,1339.0,0,0,"0     0"
"KB8Y","1","","2017-04-10","41E","2017-03-01","0",26773,752,1428.8,0.0,15.03,0.01,1443.84,0,0,"0     0"
"JZFN","1","Ленинградская - апрель","2017-04-01","41E","2017-03-01","0",10004,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JZJC","1","Косиора - апрель","2017-04-10","41E","2017-03-01","0",11489,0,0.0,0.0,0.0,150.0,150.0,0,0,"0     0"
"JW09","1","","2017-04-23","41E","2017-04-01","0",22167,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"K7UX","1","","2017-04-22","41E","2017-04-01","0",8717,0,0.0,0.0,0.0,1000.0,1000.0,0,0,"0     0"
"K7UZ","1","","2017-04-14","41E","2017-03-01","0",5772,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KAX0","1","","2017-04-24","41E","2017-04-01","0",39736,606,1605.9,0.0,0.0,0.01,1605.91,0,0,"0     0"
"KAY1","1","","2017-04-24","41E","2017-04-01","0",32005,544,1305.6,0.0,0.0,0.01,1305.61,0,0,"0     0"
"JUNW","1","Пушкина - май","2017-04-30","41E","2017-04-01","0",43224,0,0.01,0.0,0.0,0.0,0.01,0,0,"0     0"
"KAY9","1","","2017-04-27","41E","2017-04-01","0",65842,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KAYN","1","","2017-04-27","41E","2017-04-01","0",34147,548,1943.21,0.0,0.0,0.01,1943.22,0,0,"0     0"
"KAYR","1","","2017-04-27","41E","2017-04-01","0",6951,526,1913.59,0.0,0.0,0.01,1913.6,0,0,"0     0"
"JT9U","1","Кичкас","2017-04-24","41E","2017-04-01","0",25115,0,0.01,0.0,0.0,0.0,0.01,0,0,"0     0"
"JW1A","1","Универсам - апрель","2017-04-23","41E","2017-04-01","0",6900,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JW1D","1","Палермо - апрель","2017-04-19","41E","2017-04-01","0",51515,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KBM7","1","","2017-04-20","41E","2017-04-01","0",36522,563,1126.0,0.0,0.0,0.01,1126.01,0,0,"0     0"
"JW1J","1","Фантазия - апрель","2017-04-25","41E","2017-04-01","0",22653,0,0.0,0.0,0.0,150.0,150.0,0,0,"0     0"
"KFJ7","1","","2017-04-25","41E","2017-04-01","0",41813,0,0.0,0.0,0.0,1.01,1.01,0,0,"0     0"
"JW1S","1","Инженерная - апрель","2017-04-21","41E","2017-04-01","0",26525,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JZCU","1","Победа - апрель","2017-04-26","41E","2017-04-01","0",16235,590,1150.5,195.0,0.0,0.01,1345.51,0,0,"0     0"
"KBN9","1","","2017-04-23","41E","2017-04-01","0",54960,615,1230.0,0.0,46.0,0.01,1276.01,0,0,"0     0"
"KFJK","1","","2017-04-25","41E","2017-04-01","0",0,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JT9P","1","","2017-04-27","41E","2017-04-01","0",41692,0,0.01,0.0,0.0,0.0,0.01,0,0,"0     0"
"JT9Y","1","","2017-04-21","41E","2017-04-01","0",8373,0,0.01,0.0,0.0,0.0,0.01,0,0,"0     0"
"JTAA","1","","2017-04-30","41E","2017-04-01","0",41466,0,0.01,0.0,0.0,0.0,0.01,0,0,"0     0"
"KB2R","1","","2017-04-22","41E","2017-03-01","0",3710,471,904.32,0.0,0.0,0.01,904.33,0,0,"0     0"
"KFLI","1","","2017-04-30","41E","2017-04-01","0",29789,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KB38","1","","2017-04-20","41E","2017-04-01","0",3188,1429,2975.18,0.0,0.0,0.01,2975.19,0,0,"0     0"
